iter	Passed	Remaining
447	1144	3966
448	1147	3962
449	1149	3959
450	1152	3958
451	1154	3955
452	1157	3952
453	1159	3949
454	1162	3946
455	1164	3943
456	1167	3941
457	1169	3938
458	1172	3936
459	1174	3933
460	1177	3930
461	1179	3928
462	1182	3925
463	1185	3923
464	1187	3920
465	1190	3917
466	1192	3915
467	1195	3913
468	1198	3910
469	1200	3908
470	1203	3906
471	1205	3902
472	1207	3899
473	1210	3896
474	1212	3894
475	1216	3893
476	1218	3890
477	1221	3888
478	1223	3885
479	1225	3882
480	1228	3879
481	1231	3877
482	1233	3874
483	1236	3871
484	1238	3869
485	1241	3868
486	1244	3866
487	1246	3863
488	1249	3860
489	1251	3857
490	1254	3855
491	1256	3852
492	1259	3849
493	1261	3846
494	1264	3843
495	1266	3841
496	1269	3838
497	1271	3835
498	1274	3833
499	1276	3830
500	1279	3827
501	1281	3824
502	1284	3822
503	1286	3819
504	1289	3816
505	1292	3814
506	1294	3812
507	1297	3810
508	1299	3806
509	1301	3803
510	1304	3800
511	1306	3797
512	1308	3794
513	1311	3791
514	1314	3788
515	1316	3786
516	1319	3783
517	1321	3781
518	1324	3779
519	1326	3775
520	1329	3773
521	1331	3770
522	1334	3768
523	1337	3766
524	1339	3763
525	1342	3761
526	1344	3758
527	1347	3755
528	1349	3752
529	1351	3749
530	1354	3746
531	1357	3744
532	1359	3742
533	1361	3738
534	1364	3735
535	1367	3734
536	1370	3732
537	1372	3730
538	1375	3728
539	1378	3725
540	1380	3723
541	1383	3720
542	1385	3717
543	1388	3715
544	1390	3712
545	1393	3709
546	1395	3706
547	1398	3704
548	1400	3701
549	1403	3699
550	1405	3696
551	1408	3693
552	1410	3691
553	1412	3687
554	1415	3684
555	1417	3681
556	1419	3678
557	1422	3676
558	1425	3673
559	1427	3670
560	1429	3667
561	1432	3665
562	1434	3662
563	1437	3660
564	1439	3657
565	1442	3654
566	1444	3651
567	1447	3649
568	1449	3646
569	1452	3643
570	1454	3640
571	1457	3637
572	1460	3636
573	1462	3633
574	1465	3631
575	1467	3628
576	1470	3626
577	1472	3623
578	1475	3620
579	1477	3617
580	1480	3615
581	1482	3612
582	1485	3610
583	1487	3607
584	1490	3605
585	1492	3602
586	1495	3599
587	1497	3596
588	1500	3593
589	1502	3590
590	1504	3587
591	1507	3585
592	1509	3582
593	1511	3578
594	1514	3576
595	1516	3573
596	1519	3571
597	1522	3568
598	1524	3566
599	1527	3563
600	1529	3560
601	1532	3558
602	1534	3555
603	1537	3552
604	1539	3549
605	1541	3546
606	1544	3543
607	1546	3541
608	1549	3538
609	1551	3535
610	1554	3533
611	1556	3530
612	1559	3527
613	1561	3525
614	1564	3522
615	1566	3519
616	1569	3517
617	1571	3515
618	1574	3512
619	1576	3509
620	1579	3507
621	1582	3505
622	1585	3503
623	1587	3501
624	1590	3498
625	1592	3495
626	1594	3492
627	1597	3490
628	1600	3487
629	1602	3484
630	1604	3481
631	1607	3479
632	1609	3476
633	1612	3473
634	1614	3470
635	1617	3468
636	1619	3466
637	1622	3463
638	1624	3460
639	1627	3458
640	1629	3455
641	1631	3451
642	1634	3448
643	1636	3446
644	1638	3442
645	1641	3440
646	1643	3437
647	1646	3435
648	1648	3432
649	1651	3430
650	1654	3428
651	1656	3425
652	1659	3423
653	1662	3420
654	1664	3418
655	1667	3415
656	1669	3412
657	1671	3409
658	1674	3406
659	1676	3404
660	1679	3401
661	1681	3398
662	1684	3396
663	1686	3393
664	1688	3390
665	1691	3387
666	1693	3385
667	1696	3382
668	1698	3379
669	1700	3376
670	1703	3373
671	1705	3370
672	1708	3368
673	1710	3365
674	1713	3362
675	1716	3360
676	1718	3358
677	1721	3356
678	1724	3354
679	1726	3351
680	1729	3349
681	1732	3348
682	1734	3345
683	1737	3342
684	1739	3340
685	1742	3337
686	1744	3334
687	1747	3332
688	1749	3329
689	1752	3326
690	1754	3324
691	1757	3321
692	1759	3318
693	1762	3315
694	1764	3312
695	1766	3309
696	1769	3307
697	1771	3304
698	1774	3302
699	1776	3299
700	1779	3297
701	1782	3295
702	1784	3292
703	1787	3290
704	1789	3287
705	1792	3284
706	1794	3282
707	1797	3279
708	1799	3277
709	1802	3274
710	1804	3271
711	1806	3268
712	1809	3266
713	1812	3263
714	1814	3261
715	1817	3259
716	1820	3256
717	1822	3254
718	1825	3251
719	1827	3248
720	1829	3246
721	1832	3243
722	1834	3240
723	1837	3238
724	1839	3235
725	1842	3233
726	1844	3230
727	1847	3227
728	1849	3225
729	1852	3222
730	1854	3220
731	1857	3217
732	1860	3215
733	1862	3212
734	1864	3209
735	1867	3206
736	1869	3203
737	1871	3201
738	1874	3198
739	1877	3195
740	1879	3193
741	1882	3191
742	1884	3188
743	1887	3185
744	1889	3183
745	1892	3180
746	1894	3177
747	1896	3175
748	1899	3172
749	1902	3170
750	1904	3167
751	1906	3164
752	1909	3162
753	1911	3159
754	1914	3156
755	1916	3154
756	1919	3151
757	1921	3148
758	1924	3146
759	1926	3143
760	1929	3140
761	1931	3138
762	1934	3135
763	1936	3132
764	1938	3130
765	1941	3127
766	1943	3124
767	1946	3122
768	1948	3119
769	1951	3117
770	1953	3114
771	1956	3111
772	1958	3109
773	1961	3106
774	1964	3105
775	1967	3102
776	1969	3099
777	1971	3096
778	1974	3094
779	1976	3091
780	1979	3089
781	1981	3086
782	1984	3084
783	1987	3082
784	1989	3079
785	1992	3077
786	1994	3074
787	1997	3071
788	1999	3068
789	2002	3067
790	2005	3064
791	2007	3062
792	2010	3059
793	2013	3058
794	2015	3055
795	2018	3052
796	2020	3050
797	2023	3047
798	2025	3044
799	2028	3042
800	2030	3039
801	2033	3037
802	2035	3034
803	2038	3032
804	2040	3029
805	2043	3027
806	2045	3024
807	2048	3021
808	2050	3019
809	2053	3016
810	2055	3013
811	2058	3011
812	2060	3008
813	2063	3005
814	2065	3003
815	2068	3000
816	2070	2998
817	2073	2995
818	2075	2992
819	2077	2990
820	2080	2987
821	2082	2984
822	2085	2982
823	2087	2979
824	2090	2977
825	2092	2974
826	2095	2971
827	2097	2969
828	2099	2966
829	2102	2963
830	2104	2961
831	2107	2958
832	2110	2956
833	2112	2953
834	2114	2950
835	2117	2948
836	2119	2945
837	2122	2943
838	2124	2940
839	2127	2937
840	2129	2934
841	2132	2932
842	2134	2929
843	2136	2926
844	2139	2924
845	2141	2921
846	2144	2918
847	2146	2916
848	2148	2913
849	2151	2910
850	2153	2908
851	2156	2905
852	2158	2903
853	2161	2900
854	2163	2897
855	2166	2895
856	2169	2892
857	2171	2890
858	2174	2887
859	2176	2885
860	2178	2882
861	2181	2879
862	2183	2876
863	2186	2874
864	2188	2871
865	2191	2869
866	2193	2866
867	2196	2864
868	2198	2861
869	2201	2859
870	2203	2856
871	2206	2854
872	2209	2852
873	2211	2849
874	2214	2847
875	2217	2844
876	2219	2842
877	2222	2839
878	2224	2837
879	2227	2834
880	2229	2832
881	2232	2830
882	2235	2827
883	2237	2824
884	2239	2821
885	2242	2819
886	2244	2816
887	2247	2814
888	2249	2811
889	2252	2808
890	2254	2806
891	2257	2803
892	2259	2800
893	2261	2798
894	2264	2795
895	2267	2793
896	2269	2791
897	2272	2788
898	2274	2785
899	2277	2783
900	2279	2780
901	2282	2778
902	2284	2775
903	2287	2773
904	2290	2770
905	2292	2768
906	2295	2765
907	2297	2763
908	2299	2760
909	2302	2757
910	2304	2755
911	2307	2753
912	2310	2750
913	2312	2748
914	2315	2746
915	2318	2743
916	2320	2740
917	2323	2738
918	2325	2735
919	2327	2732
920	2330	2730
921	2332	2727
922	2335	2725
923	2338	2722
924	2340	2720
925	2342	2717
926	2345	2714
927	2347	2712
928	2350	2709
929	2352	2706
930	2355	2704
931	2357	2702
932	2360	2699
933	2362	2696
934	2366	2695
935	2368	2692
936	2371	2689
937	2373	2687
938	2376	2684
939	2378	2682
940	2381	2679
941	2383	2676
942	2386	2674
943	2388	2672
944	2391	2669
945	2393	2666
946	2396	2664
947	2398	2661
948	2401	2659
949	2403	2656
950	2406	2654
951	2408	2651
952	2411	2649
953	2414	2647
954	2416	2644
955	2419	2641
956	2421	2639
957	2424	2636
958	2426	2634
959	2429	2632
960	2432	2629
961	2434	2627
962	2437	2624
963	2439	2621
964	2441	2619
965	2444	2616
966	2447	2614
967	2449	2611
968	2452	2609
969	2454	2606
970	2457	2604
971	2459	2601
972	2462	2599
973	2465	2596
974	2467	2594
975	2470	2591
976	2472	2588
977	2474	2586
978	2477	2583
979	2479	2581
980	2482	2578
981	2484	2575
982	2487	2573
983	2489	2570
984	2492	2568
985	2495	2565
986	2497	2563
987	2500	2560
988	2502	2557
989	2504	2555
990	2507	2553
991	2510	2550
992	2512	2548
993	2515	2545
994	2517	2542
995	2519	2540
996	2522	2537
997	2524	2534
998	2526	2531
999	2529	2529
1000	2531	2526
1001	2534	2524
1002	2536	2521
1003	2539	2519
1004	2541	2516
1005	2544	2514
1006	2547	2511
1007	2549	2509
1008	2551	2506
1009	2554	2503
1010	2557	2501
1011	2559	2499
1012	2562	2496
1013	2564	2493
1014	2566	2491
1015	2569	2488
1016	2571	2485
1017	2574	2483
1018	2576	2480
1019	2580	2478
1020	2582	2476
1021	2584	2473
1022	2587	2471
1023	2590	2468
1024	2592	2466
1025	2595	2463
1026	2597	2461
1027	2600	2458
1028	2603	2456
1029	2606	2454
1030	2608	2451
1031	2611	2449
1032	2613	2446
1033	2616	2444
1034	2618	2441
1035	2621	2438
1036	2623	2436
1037	2626	2433
1038	2628	2431
1039	2631	2428
1040	2633	2426
1041	2636	2423
1042	2639	2421
1043	2642	2419
1044	2645	2417
1045	2648	2415
1046	2651	2413
1047	2653	2410
1048	2656	2408
1049	2659	2405
1050	2662	2403
1051	2664	2401
1052	2667	2399
1053	2670	2396
1054	2673	2394
1055	2675	2392
1056	2678	2389
1057	2681	2387
1058	2683	2384
1059	2686	2382
1060	2688	2379
1061	2691	2377
1062	2694	2374
1063	2696	2372
1064	2699	2369
1065	2701	2367
1066	2704	2364
1067	2707	2362
1068	2710	2360
1069	2712	2357
1070	2715	2355
1071	2718	2353
1072	2721	2351
1073	2724	2348
1074	2726	2346
1075	2729	2343
1076	2731	2340
1077	2733	2338
1078	2735	2335
1079	2738	2332
1080	2740	2330
1081	2743	2327
1082	2746	2325
1083	2749	2323
1084	2751	2320
1085	2754	2318
1086	2757	2315
1087	2759	2313
