iter	Logloss
0	0.6845230471
1	0.6763484451
2	0.6669447017
3	0.656805807
4	0.6478535187
5	0.6388217748
6	0.6306151955
7	0.6211421707
8	0.6124188549
9	0.6036565705
10	0.59546575
11	0.5893016996
12	0.5816346516
13	0.5759128856
14	0.5701255784
15	0.5630681472
16	0.557119786
17	0.5495940488
18	0.5427012155
19	0.5373632451
20	0.5311892711
21	0.5242091291
22	0.5182500763
23	0.5133433525
24	0.5077374754
25	0.5019149538
26	0.4964512499
27	0.49200532
28	0.4866060495
29	0.4822525972
30	0.4778639989
31	0.4739837448
32	0.4688716158
33	0.4652110706
34	0.4615330375
35	0.4574469893
36	0.4536635484
37	0.4504224134
38	0.4463771166
39	0.4418242997
40	0.4376783256
41	0.4345751844
42	0.4302647831
43	0.4270413238
44	0.4239439314
45	0.4206055547
46	0.4163653154
47	0.4128268073
48	0.4091292875
49	0.4064066991
50	0.4034582504
51	0.4007288405
52	0.3978559255
53	0.3952297494
54	0.3916530768
55	0.3889237181
56	0.3860515028
57	0.3837365396
58	0.3813391243
59	0.3789700209
60	0.3770170163
61	0.3752634618
62	0.3722942939
63	0.3699369055
64	0.3677748168
65	0.3662073113
66	0.3642468623
67	0.3618171146
68	0.360150993
69	0.3577761648
70	0.3558033294
71	0.3533096141
72	0.3516606977
73	0.3493694678
74	0.3478612598
75	0.3465070016
76	0.3442285349
77	0.3430969173
78	0.3416140732
79	0.3394918034
80	0.3381141082
81	0.3361419552
82	0.3341140448
83	0.3327865916
84	0.3311242346
85	0.3298304084
86	0.3279459754
87	0.3262707312
88	0.3251507642
89	0.324029973
90	0.3227949102
91	0.3211541171
92	0.3200471288
93	0.3191571821
94	0.3179706906
95	0.3165522834
96	0.3153974394
97	0.3140437553
98	0.3127341769
99	0.3117058805
100	0.310796155
101	0.3097614528
102	0.3085206382
103	0.3074915689
104	0.3061888491
105	0.3053011894
106	0.3040115012
107	0.3032750542
108	0.3026296739
109	0.3014206351
110	0.3005230211
111	0.2997710592
112	0.298758966
113	0.29784095
114	0.2968399866
115	0.296028045
116	0.2953280374
117	0.2944987087
118	0.293705345
119	0.2929663395
120	0.2923035849
121	0.2914473003
122	0.2907267322
123	0.2898877741
124	0.2890272824
125	0.2882777246
126	0.2875262732
127	0.2866870052
128	0.2861319704
129	0.2853050106
130	0.2845210925
131	0.2837870405
132	0.2833602487
133	0.282897998
